file_name,language,deepfake,generator
common_voice_ru_27137650.wav,ru,bonafide,
common_voice_ru_37280440_elevenlabs_4.wav,ru,spoofed,elevenlabs
common_voice_en_32642394.wav,en,bonafide,
common_voice_en_21094020_speechify_0.wav,en,spoofed,speechify
common_voice_ar_25193778.wav,ar,bonafide,
common_voice_ar_21169816_speechify_0.wav,ar,spoofed,speechify
common_voice_zh-CN_18999866.wav,zh,bonafide,
common_voice_zh-CN_22056291_elevenlabs_0.wav,zh,spoofed,elevenlabs
common_voice_de_26302135.wav,de,bonafide,
common_voice_de_27028426_elevenlabs_1.wav,de,spoofed,elevenlabs
common_voice_fr_27039121.wav,fr,bonafide,
common_voice_fr_39568858_speechify_0.wav,fr,spoofed,speechify
common_voice_es_18753067.wav,es,bonafide,
common_voice_es_19978351_speechify_0.wav,es,spoofed,speechify
common_voice_hi_23852750.wav,hi,bonafide,
common_voice_hi_24941365_elevenlabs_5.wav,hi,spoofed,elevenlabs
common_voice_pt_21299844.wav,pt,bonafide,
common_voice_pt_36473927_speechify_0.wav,pt,spoofed,speechify
common_voice_ta_27978478.wav,ta,bonafide,
common_voice_ta_24854314_elevenlabs_5.wav,ta,spoofed,elevenlabs
common_voice_ja_30700279.wav,ja,bonafide
common_voice_ja_38965247_elevenlabs_0.wav,ja,spoofed,elevenlabs
